
Umsatz:      971552.88

h    Fuellstand    Turbinierleistung    Pumpleistung
1   1500.00               0.00            0.00
2   1520.00               0.00           13.33
3   1755.00               0.00          300.00
4   1990.00               0.00          300.00
5   2000.00               0.00            0.00
6   2000.00              10.00            0.00
7   2000.00              10.00            0.00
8   1710.00             300.00            0.00
9   1640.00              80.00            0.00
10   1650.00               0.00            0.00
11   1660.00               0.00            0.00
12   1670.00               0.00            0.00
13   1680.00               0.00            0.00
14   1690.00               0.00            0.00
15   1700.00               0.00            0.00
16   1710.00               0.00            0.00
17   1420.00             300.00            0.00
18   1130.00             300.00            0.00
19    840.00             300.00            0.00
20    550.00             300.00            0.00
21    560.00               0.00            0.00
22    570.00               0.00            0.00
23    805.00               0.00          300.00
24    815.00               0.00            0.00
25   1050.00               0.00          300.00
26   1285.00               0.00          300.00
27   1520.00               0.00          300.00
28   1755.00               0.00          300.00
29   1990.00               0.00          300.00
30   2000.00               0.00            0.00
31   1710.00             300.00            0.00
32   1420.00             300.00            0.00
33   1130.00             300.00            0.00
34    840.00             300.00            0.00
35    810.00              40.00            0.00
36    820.00               0.00            0.00
37    830.00               0.00            0.00
38    840.00               0.00            0.00
39    850.00               0.00            0.00
40    860.00               0.00            0.00
41    870.00               0.00            0.00
42    580.00             300.00            0.00
43    290.00             300.00            0.00
44      0.00             300.00            0.00
45     10.00               0.00            0.00
46     20.00               0.00            0.00
47    255.00               0.00          300.00
48    490.00               0.00          300.00
49    725.00               0.00          300.00
50    960.00               0.00          300.00
51   1195.00               0.00          300.00
52   1430.00               0.00          300.00
53   1665.00               0.00          300.00
54   1675.00               0.00            0.00
55   1385.00             300.00            0.00
56   1095.00             300.00            0.00
57    805.00             300.00            0.00
58    515.00             300.00            0.00
59    520.00               5.00            0.00
60    530.00               0.00            0.00
61    540.00               0.00            0.00
62    550.00               0.00            0.00
63    560.00               0.00            0.00
64    570.00               0.00            0.00
65    580.00               0.00            0.00
66    290.00             300.00            0.00
67      0.00             300.00            0.00
68      0.00              10.00            0.00
69     10.00               0.00            0.00
70     20.00               0.00            0.00
71     30.00               0.00            0.00
72    265.00               0.00          300.00
73    500.00               0.00          300.00
74    735.00               0.00          300.00
75    970.00               0.00          300.00
76   1205.00               0.00          300.00
77   1440.00               0.00          300.00
78   1450.00               0.00            0.00
79   1160.00             300.00            0.00
80    870.00             300.00            0.00
81    580.00             300.00            0.00
82    290.00             300.00            0.00
83      0.00             300.00            0.00
84     10.00               0.00            0.00
85     20.00               0.00            0.00
86     30.00               0.00            0.00
87     40.00               0.00            0.00
88     50.00               0.00            0.00
89     60.00               0.00            0.00
90     70.00               0.00            0.00
91      0.00              80.00            0.00
92     10.00               0.00            0.00
93    245.00               0.00          300.00
94    345.00               0.00          120.00
95    580.00               0.00          300.00
96    815.00               0.00          300.00
97   1050.00               0.00          300.00
98   1285.00               0.00          300.00
99   1520.00               0.00          300.00
100   1755.00               0.00          300.00
101   1990.00               0.00          300.00
102   2000.00               0.00            0.00
103   1710.00             300.00            0.00
104   1420.00             300.00            0.00
105   1130.00             300.00            0.00
106    840.00             300.00            0.00
107    850.00               0.00            0.00
108    860.00               0.00            0.00
109    870.00               0.00            0.00
110    880.00               0.00            0.00
111    890.00               0.00            0.00
112    900.00               0.00            0.00
113    610.00             300.00            0.00
114    320.00             300.00            0.00
115     30.00             300.00            0.00
116     40.00               0.00            0.00
117     50.00               0.00            0.00
118     60.00               0.00            0.00
119    295.00               0.00          300.00
120    530.00               0.00          300.00
121    540.00               0.00            0.00
122    550.00               0.00            0.00
123    615.00               0.00           73.33
124    850.00               0.00          300.00
125    860.00               0.00            0.00
126    870.00               0.00            0.00
127    580.00             300.00            0.00
128    290.00             300.00            0.00
129      0.00             300.00            0.00
130     10.00               0.00            0.00
131     20.00               0.00            0.00
132     30.00               0.00            0.00
133     40.00               0.00            0.00
134     50.00               0.00            0.00
135    285.00               0.00          300.00
136    295.00               0.00            0.00
137    305.00               0.00            0.00
138    315.00               0.00            0.00
139    325.00               0.00            0.00
140    335.00               0.00            0.00
141    345.00               0.00            0.00
142    355.00               0.00            0.00
143    365.00               0.00            0.00
144    375.00               0.00            0.00
145    385.00               0.00            0.00
146    395.00               0.00            0.00
147    405.00               0.00            0.00
