Gesamt Gewinn (Mio):            4.024562
t                   Spot                SpeicherStand       Turbine             Pumpe               ErzKosten           StartKosten         Gen GuD
                   1                0.00                1500                   0                   0                  33               0.000                   0
                   2               26.28                1520                   0                  13                  33               0.000                   0
                   3               25.79                1755                   0                 300                  33               0.000                   0
                   4               25.70                1990                   0                 300                  33               0.000                   0
                   5               26.39                2000                   0                   0                  33               0.000                   0
                   6               38.01                2000                  10                   0                  33           10000.000                 500
                   7               51.93                2000                  10                   0                  33               0.000                 500
                   8               52.43                1710                 300                   0                  33               0.000                 500
                   9               52.10                1640                  80                   0                  33               0.000                 500
                  10               50.78                1650                   0                   0                  33               0.000                 500
                  11               50.89                1660                   0                   0                  33               0.000                 500
                  12               46.09                1670                   0                   0                  33               0.000                 500
                  13               45.53                1680                   0                   0                  33               0.000                 500
                  14               45.37                1690                   0                   0                  33               0.000                 500
                  15               47.71                1700                   0                   0                  33               0.000                 500
                  16               50.03                1710                   0                   0                  33               0.000                 500
                  17               54.11                1420                 300                   0                  33               0.000                 500
                  18               58.02                1130                 300                   0                  33               0.000                 500
                  19               66.51                 840                 300                   0                  33               0.000                 500
                  20               54.42                 550                 300                   0                  33               0.000                 500
                  21               49.08                 560                   0                   0                  33               0.000                 500
                  22               44.10                 570                   0                   0                  33               0.000                 500
                  23               38.05                 805                   0                 300                  33               0.000                 500
                  24               40.13                 815                   0                   0                  33               0.000                 500
                  25               35.88                1050                   0                 300                  33               0.000                 500
                  26               34.64                1285                   0                 300                  33               0.000                 500
                  27               31.84                1520                   0                 300                  33               0.000                 200
                  28               33.72                1755                   0                 300                  33               0.000                 500
                  29               36.20                1990                   0                 300                  33               0.000                 500
                  30               46.99                2000                   0                   0                  33               0.000                 500
                  31               56.43                1710                 300                   0                  33               0.000                 500
                  32               61.30                1420                 300                   0                  33               0.000                 500
                  33               60.00                1130                 300                   0                  33               0.000                 500
                  34               55.49                 840                 300                   0                  33               0.000                 500
                  35               52.72                 810                  40                   0                  33               0.000                 500
                  36               47.00                 820                   0                   0                  33               0.000                 500
                  37               44.48                 830                   0                   0                  33               0.000                 500
                  38               44.47                 840                   0                   0                  33               0.000                 500
                  39               43.85                 850                   0                   0                  33               0.000                 500
                  40               46.24                 860                   0                   0                  33               0.000                 500
                  41               51.93                 870                   0                   0                  33               0.000                 500
                  42               60.00                 580                 300                   0                  33               0.000                 500
                  43               65.47                 290                 300                   0                  33               0.000                 500
                  44               53.46                   0                 300                   0                  33               0.000                 500
                  45               46.72                  10                   0                   0                  33               0.000                 500
                  46               41.86                  20                   0                   0                  33               0.000                 500
                  47               37.48                 255                   0                 300                  33               0.000                 500
                  48               35.66                 490                   0                 300                  33               0.000                 500
                  49               32.31                 725                   0                 300                  34               0.000                 200
                  50               31.36                 960                   0                 300                  34               0.000                 200
                  51               30.09                1195                   0                 300                  34               0.000                 200
                  52               30.39                1430                   0                 300                  34               0.000                 200
                  53               35.03                1665                   0                 300                  34               0.000                 500
                  54               40.70                1675                   0                   0                  34               0.000                 500
                  55               52.40                1385                 300                   0                  34               0.000                 500
                  56               59.77                1095                 300                   0                  34               0.000                 500
                  57               57.12                 805                 300                   0                  34               0.000                 500
                  58               54.11                 515                 300                   0                  34               0.000                 500
                  59               51.23                 520                   5                   0                  34               0.000                 500
                  60               45.26                 530                   0                   0                  34               0.000                 500
