t                   Spot                Angebotene Leistung
                   1                0.00                   0
                   2                0.00                   0
                   3                0.00                   0
                   4                0.00                   0
                   5                0.00                   0
                   6                0.00                   0
                   7                0.00                   0
                   8                0.00                   0
                   9                0.00                   0
                  10                0.00                   0
                  11                0.00                   0
                  12                0.00                 248
                  13                0.00                   0
                  14                0.00                   0
                  15                0.00                   0
                  16                0.00                 263
                  17                0.00                 263
                  18                0.00                 276
                  19                0.00                 263
                  20                0.00                 263
                  21                0.00                   0
                  22                0.00                   0
                  23                0.00                   0
                  24                0.00                   0
                  25                0.00                   0
                  26                0.00                   0
                  27                0.00                   0
                  28                0.00                   0
                  29                0.00                   0
                  30                0.00                   0
                  31                0.00                   0
                  32                0.00                 290
                  33                0.00                 290
                  34                0.00                 290
                  35                0.00                 276
                  36                0.00                 290
                  37                0.00                 290
                  38                0.00                 276
                  39                0.00                 290
                  40                0.00                 276
                  41                0.00                 290
                  42                0.00                 290
                  43                0.00                 290
                  44                0.00                 263
                  45                0.00                   0
                  46                0.00                   0
                  47                0.00                   0
                  48                0.00                   0
                  49                0.00                   0
                  50                0.00                   0
                  51                0.00                   0
                  52                0.00                   0
                  53                0.00                   0
                  54                0.00                   0
                  55                0.00                   0
                  56                0.00                 263
                  57                0.00                 276
                  58                0.00                 263
                  59                0.00                 263
                  60                0.00                   0
                  61                0.00                   0
                  62                0.00                   0
                  63                0.00                   0
                  64                0.00                 263
                  65                0.00                 290
                  66                0.00                 276
                  67                0.00                 263
                  68                0.00                   0
                  69                0.00                   0
                  70                0.00                   0
                  71                0.00                   0
                  72                0.00                   0
                  73                0.00                   0
                  74                0.00                   0
                  75                0.00                   0
                  76                0.00                   0
                  77                0.00                   0
                  78                0.00                   0
                  79                0.00                   0
                  80                0.00                   0
                  81                0.00                 276
                  82                0.00                 290
                  83                0.00                 276
                  84                0.00                 276
                  85                0.00                 276
                  86                0.00                 276
                  87                0.00                 290
                  88                0.00                 290
                  89                0.00                 290
                  90                0.00                 290
                  91                0.00                 290
                  92                0.00                 290
                  93                0.00                 263
                  94                0.00                   0
                  95                0.00                   0
                  96                0.00                   0
                  97                0.00                   0
                  98                0.00                   0
                  99                0.00                   0
                 100                0.00                   0
                 101                0.00                   0
                 102                0.00                   0
                 103                0.00                   0
                 104                0.00                 290
                 105                0.00                 290
                 106                0.00                 290
                 107                0.00                 290
                 108                0.00                 290
                 109                0.00                 290
                 110                0.00                 290
                 111                0.00                 290
                 112                0.00                 290
                 113                0.00                 290
                 114                0.00                 290
                 115                0.00                 290
                 116                0.00                 290
                 117                0.00                 276
                 118                0.00                   0
                 119                0.00                   0
                 120                0.00                   0
                 121                0.00                   0
                 122                0.00                   0
                 123                0.00                   0
                 124                0.00                   0
                 125                0.00                   0
                 126                0.00                   0
                 127                0.00                   0
                 128                0.00                   0
                 129                0.00                   0
                 130                0.00                   0
                 131                0.00                   0
                 132                0.00                   0
                 133                0.00                   0
                 134                0.00                   0
                 135                0.00                   0
                 136                0.00                   0
                 137                0.00                   0
                 138                0.00                 276
                 139                0.00                 276
                 140                0.00                   0
                 141                0.00                   0
                 142                0.00                   0
                 143                0.00                   0
                 144                0.00                   0
                 145                0.00                   0
                 146                0.00                   0
                 147                0.00                   0
                 148                0.00                   0
                 149                0.00                   0
                 150                0.00                   0
                 151                0.00                   0
                 152                0.00                   0
                 153                0.00                   0
                 154                0.00                   0
                 155                0.00                   0
                 156                0.00                   0
                 157                0.00                   0
                 158                0.00                   0
                 159                0.00                   0
                 160                0.00                   0
                 161                0.00                   0
                 162                0.00                   0
                 163                0.00                 263
                 164                0.00                   0
                 165                0.00                   0
                 166                0.00                   0
                 167                0.00                   0
                 168                0.00                   0
