Gesamt Gewinn (Mio):          146.179431
t                   Spot                SpeicherStand       Turbine             Pumpe               ErzKosten           StartKosten         Erzeugung GuD       Erzeugung GT        Erzeugung LW20.00
                   1              130.51                1500                 300                   0                 329               0.000                   0                 300                 250
                   2              155.20                1735                   0                 300                 329               0.000                   0                 300                 250
                   3              193.30                1970                   0                 300                 329               0.000                   0                 300                 250
                   4              222.07                1980                   0                   0                 329               0.000                   0                 300                 250
                   5              231.92                1990                   0                   0                 329               0.000                   0                 300                 250
                   6              239.48                2000                   0                   0                 329               0.000                   0                 300                 250
                   7              266.33                2000                  10                   0                 329               0.000                   0                 300                 250
                   8              279.90                2000                  10                   0                 329               0.000                   0                 300                 250
                   9              336.52                2000                  10                   0                 329           10000.000                 500                 300                 250
                  10              381.86                1710                 300                   0                 329               0.000                 500                 300                 250
                  11              390.89                1420                 300                   0                 329               0.000                 500                 300                 250
                  12              386.49                1130                 300                   0                 329               0.000                 500                 300                 250
                  13              391.13                 840                 300                   0                 329               0.000                 500                 300                 250
                  14              300.35                 850                   0                   0                 329               0.000                   0                 300                 250
                  15              263.35                1085                   0                 300                 329               0.000                   0                 300                 250
                  16              272.93                1150                   0                  73                 329               0.000                   0                 300                 250
                  17              281.73                1160                   0                   0                 329               0.000                   0                 300                 250
                  18              371.34                 870                 300                   0                 329           10000.000                 500                 300                 250
                  19              465.26                 580                 300                   0                 329               0.000                 500                 300                 250
                  20              504.29                 290                 300                   0                 329               0.000                 500                 300                 250
                  21              462.40                   0                 300                   0                 329               0.000                 500                 300                 250
                  22              323.97                   0                  10                   0                 329               0.000                   0                 300                 250
                  23              261.06                   0                  10                   0                 329               0.000                   0                 300                 250
                  24              141.86                 235                   0                 300                 329               0.000                   0                 300                 250
                  25              194.38                 245                   0                   0                 329               0.000                   0                 300                 250
                  26              129.68                 480                   0                 300                 329               0.000                   0                 300                 250
                  27               66.43                 715                   0                 300                 329               0.000                   0                   0                 250
                  28               11.08                 950                   0                 300                 329               0.000                   0                   0                 250
                  29               34.53                1185                   0                 300                 329               0.000                   0                   0                 250
                  30               97.52                1420                   0                 300                 329               0.000                   0                 300                 250
                  31              141.19                1655                   0                 300                 329               0.000                   0                 300                 250
                  32              219.16                1665                   0                   0                 329               0.000                   0                 300                 250
                  33              217.14                1675                   0                   0                 329               0.000                   0                 300                 250
                  34              220.99                1685                   0                   0                 329               0.000                   0                 300                 250
                  35              209.17                1695                   0                   0                 329               0.000                   0                 300                 250
                  36              259.99                1405                 300                   0                 329               0.000                   0                 300                 250
                  37              227.91                1415                   0                   0                 329               0.000                   0                 300                 250
                  38              154.62                1650                   0                 300                 329               0.000                   0                 300                 250
                  39              149.77                1885                   0                 300                 329               0.000                   0                 300                 250
                  40              201.46                1895                   0                   0                 329               0.000                   0                 300                 250
                  41              202.45                1905                   0                   0                 329               0.000                   0                 300                 250
                  42              313.87                1615                 300                   0                 329               0.000                   0                 300                 250
                  43              320.55                1325                 300                   0                 329               0.000                   0                 300                 250
                  44              364.55                1035                 300                   0                 329           10000.000                 500                 300                 250
                  45              299.47                 745                 300                   0                 329               0.000                   0                 300                 250
                  46              231.76                 570                 185                   0                 329               0.000                   0                 300                 250
                  47              152.48                 805                   0                 300                 329               0.000                   0                 300                 250
                  48              100.10                1040                   0                 300                 329               0.000                   0                 300                 250
                  49              140.80                1275                   0                 300                 342               0.000                   0                 300                 250
                  50              144.91                1510                   0                 300                 342               0.000                   0                 300                 250
                  51              127.93                1745                   0                 300                 342               0.000                   0                 300                 250
                  52              160.54                1980                   0                 300                 342               0.000                   0                 300                 250
                  53              200.04                1990                   0                   0                 342               0.000                   0                 300                 250
                  54              219.18                2000                   0                   0                 342               0.000                   0                 300                 250
                  55              282.80                2000                  10                   0                 342               0.000                   0                 300                 250
                  56              314.64                1815                 195                   0                 342               0.000                   0                 300                 250
                  57              366.00                1525                 300                   0                 342           10000.000                 500                 300                 250
                  58              358.26                1235                 300                   0                 342               0.000                 500                 300                 250
                  59              323.18                 945                 300                   0                 342               0.000                   0                 300                 250
                  60              329.57                 655                 300                   0                 342               0.000                   0                 300                 250
                  61              256.33                 665                   0                   0                 342               0.000                   0                 300                 250
                  62              179.67                 900                   0                 300                 342               0.000                   0                 300                 250
                  63              117.42                1135                   0                 300                 342               0.000                   0                 300                 250
                  64              126.83                1370                   0                 300                 342               0.000                   0                 300                 250
                  65              173.59                1605                   0                 300                 342               0.000                   0                 300                 250
                  66              281.84                1615                   0                   0                 342               0.000                   0                 300                 250
                  67              332.28                1325                 300                   0                 342               0.000                   0                 300                 250
                  68              396.22                1035                 300                   0                 342           10000.000                 500                 300                 250
                  69              315.73                 745                 300                   0                 342               0.000                   0                 300                 250
                  70              316.33                 455                 300                   0                 342               0.000                   0                 300                 250
                  71              300.96                 465                   0                   0                 342               0.000                   0                 300                 250
                  72              222.45                 700                   0                 300                 342               0.000                   0                 300                 250
                  73              184.10                 935                   0                 300                 336               0.000                   0                 300                 250
