Gesamt Kosten (Mio):           23.512267
t                   Spot                Nachfrage           SpeicherStand       Turbine             Pumpe               ErzKosten           StartKosten         Erzeugung GuD       Erzeugung GT        Erzeugung LW20.00
                   1                0.00                 200                1500                 200                   0                 329               0.000                   0                   0                   0
                   2               70.00                 210                1540                   0                  40                 329               0.000                   0                   0                 250
                   3               70.00                 200                1588                   0                  50                 329               0.000                   0                   0                 250
                   4               70.00                 200                1822                   0                 300                 329               0.000                   0                 250                 250
                   5               70.00                 250                1832                   0                   0                 329               0.000                   0                   0                 250
                   6               70.00                 400                1842                   0                   0                 329               0.000                   0                 150                 250
                   7               93.33                 600                1802                  50                   0                 329               0.000                   0                 300                 250
                   8               93.33                 600                1762                  50                   0                 329               0.000                   0                 300                 250
                   9               93.33                 600                1722                  50                   0                 329               0.000                   0                 300                 250
                  10               93.33                 600                1682                  50                   0                 329               0.000                   0                 300                 250
                  11               93.33                 600                1642                  50                   0                 329               0.000                   0                 300                 250
                  12               93.33                 600                1602                  50                   0                 329               0.000                   0                 300                 250
                  13               93.33                 600                1562                  50                   0                 329               0.000                   0                 300                 250
                  14               93.33                 600                1522                  50                   0                 329               0.000                   0                 300                 250
                  15               93.33                 600                1482                  50                   0                 329               0.000                   0                 300                 250
                  16               93.33                 600                1442                  50                   0                 329               0.000                   0                 300                 250
                  17               93.33                 600                1402                  50                   0                 329               0.000                   0                 300                 250
                  18               93.33                 600                1362                  50                   0                 329               0.000                   0                 300                 250
                  19               70.00                 400                1372                   0                   0                 329               0.000                   0                 150                 250
                  20               70.00                 400                1382                   0                   0                 329               0.000                   0                 150                 250
                  21               70.00                 300                1392                   0                   0                 329               0.000                   0                  50                 250
                  22               70.00                 300                1402                   0                   0                 329               0.000                   0                  50                 250
                  23               70.00                 300                1412                   0                   0                 329               0.000                   0                  50                 250
                  24               70.00                 250                1422                   0                   0                 329               0.000                   0                   0                 250
                  25               70.00                 201                1469                   0                  49                 329               0.000                   0                   0                 250
                  26               70.00                 213                1507                   0                  37                 329               0.000                   0                   0                 250
                  27               70.00                 205                1608                   0                 121                 329               0.000                   0                  76                 250
                  28               70.00                 206                1843                   0                 300                 329               0.000                   0                 256                 250
                  29               70.00                 251                1853                   0                   0                 329               0.000                   0                   1                 250
                  30               70.00                 409                1863                   0                   0                 329               0.000                   0                 159                 250
                  31               93.33                 553                1870                   3                   0                 329               0.000                   0                 300                 250
                  32               93.33                 554                1876                   4                   0                 329               0.000                   0                 300                 250
                  33               93.33                 550                1886                   0                   0                 329               0.000                   0                 300                 250
                  34               93.33                 556                1890                   6                   0                 329               0.000                   0                 300                 250
                  35               93.33                 552                1898                   2                   0                 329               0.000                   0                 300                 250
                  36               93.33                 552                1906                   2                   0                 329               0.000                   0                 300                 250
                  37               93.33                 556                1910                   6                   0                 329               0.000                   0                 300                 250
                  38               93.33                 559                1911                   9                   0                 329               0.000                   0                 300                 250
                  39               93.33                 558                1913                   8                   0                 329               0.000                   0                 300                 250
                  40               93.33                 553                1920                   3                   0                 329               0.000                   0                 300                 250
                  41               93.33                 552                1928                   2                   0                 329               0.000                   0                 300                 250
                  42               93.33                 608                1880                  58                   0                 329               0.000                   0                 300                 250
                  43               70.00                 408                1890                   0                   0                 329               0.000                   0                 158                 250
                  44               70.00                 407                1900                   0                   0                 329               0.000                   0                 157                 250
                  45               70.00                 307                1910                   0                   0                 329               0.000                   0                  57                 250
                  46               70.00                 310                1920                   0                   0                 329               0.000                   0                  60                 250
                  47               70.00                 303                1930                   0                   0                 329               0.000                   0                  53                 250
                  48               70.00                 256                1940                   0                   0                 329               0.000                   0                   6                 250
                  49               70.00                 250                1950                   0                   0                 342               0.000                   0                   0                 250
                  50               70.00                 250                1960                   0                   0                 342               0.000                   0                   0                 250
                  51               70.00                 250                1970                   0                   0                 342               0.000                   0                   0                 250
                  52               70.00                 250                1980                   0                   0                 342               0.000                   0                   0                 250
                  53               70.00                 250                1990                   0                   0                 342               0.000                   0                   0                 250
                  54               70.00                 400                2000                   0                   0                 342               0.000                   0                 150                 250
                  55              341.91                 700                2000                  10                   0                 342            2800.000                 140                 300                 250
                  56              341.91                 800                1990                  20                   0                 342            2200.000                 230                 300                 250
                  57              341.91                 800                2000                   0                   0                 342               0.000                 250                 300                 250
                  58              341.91                 800                1970                  40                   0                 342               0.000                 210                 300                 250
                  59              341.91                 900                1730                 250                   0                 342               0.000                 100                 300                 250
                  60              341.91                 900                1490                 250                   0                 342               0.000                 100                 300                 250
                  61              361.91                1200                1200                 300                   0                 342            2000.000                 350                 300                 250
                  62              341.91                1000                 910                 300                   0                 342               0.000                 150                 300                 250
                  63              341.91                1200                 620                 300                   0                 342               0.000                 350                 300                 250
                  64              341.91                 900                 330                 300                   0                 342               0.000                  50                 300                 250
                  65              341.91                 900                  40                 300                   0                 342               0.000                  50                 300                 250
                  66              341.91                 600                   0                  50                   0                 342               0.000                   0                 300                 250
                  67               70.00                 400                 122                   0                 150                 342               0.000                   0                 300                 250
                  68               70.00                 400                 245                   0                 150                 342               0.000                   0                 300                 250
                  69               70.00                 300                 442                   0                 250                 342               0.000                   0                 300                 250
                  70               70.00                 300                 618                   0                 220                 342               0.000                   0                 270                 250
                  71               70.00                 300                 815                   0                 250                 342               0.000                   0                 300                 250
                  72               70.00                 250                1050                   0                 300                 342               0.000                   0                 300                 250
                  73               70.00                 250                1285                   0                 300                 336               0.000                   0                 300                 250
                  74               70.00                 250                1295                   0                   0                 336               0.000                   0                   0                 250
                  75               70.00                 250                1530                   0                 300                 336               0.000                   0                 300                 250
                  76               70.00                 250                1765                   0                 300                 336               0.000                   0                 300                 250
                  77               70.00                 250                2000                   0                 300                 336               0.000                   0                 300                 250
                  78              335.69                 900                1710                 300                   0                 336            1000.000                  50                 300                 250
                  79              335.69                 900                1500                 220                   0                 336            5500.000                 130                 300                 250
                  80              335.69                1200                1210                 300                   0                 336             500.000                 350                 300                 250
                  81              335.69                1000                 920                 300                   0                 336               0.000                 150                 300                 250
                  82              355.69                1200                 630                 300                   0                 336               0.000                 350                 300                 250
                  83              335.69                 800                 640                   0                   0                 336               0.000                 250                 300                 250
                  84              335.69                 800                 650                   0                   0                 336               0.000                 250                 300                 250
                  85              335.69                 900                 660                   0                   0                 336               0.000                 350                 300                 250
                  86              335.69                 900                 670                   0                   0                 336               0.000                 350                 300                 250
                  87              335.69                1200                 380                 300                   0                 336               0.000                 350                 300                 250
                  88              335.69                1000                 290                 100                   0                 336               0.000                 350                 300                 250
                  89              335.69                1200                   0                 300                   0                 336               0.000                 350                 300                 250
                  90              335.69                 600                   0                  10                   0                 336               0.000                  40                 300                 250
                  91               70.00                 400                 122                   0                 150                 336               0.000                   0                 300                 250
                  92               70.00                 400                 132                   0                   0                 336               0.000                   0                 150                 250
                  93               70.00                 300                 330                   0                 250                 336               0.000                   0                 300                 250
                  94               70.00                 300                 340                   0                   0                 336               0.000                   0                  50                 250
                  95               70.00                 300                 538                   0                 250                 336               0.000                   0                 300                 250
                  96               70.00                 250                 772                   0                 300                 336               0.000                   0                 300                 250
                  97               70.00                 250                1008                   0                 300                 346               0.000                   0                 300                 250
                  98               70.00                 250                1242                   0                 300                 346               0.000                   0                 300                 250
                  99               70.00                 250                1408                   0                 207                 346               0.000                   0                 207                 250
                 100               70.00                 250                1642                   0                 300                 346               0.000                   0                 300                 250
                 101               70.00                 250                1878                   0                 300                 346               0.000                   0                 300                 250
                 102               70.00                 400                2000                   0                 150                 346               0.000                   0                 300                 250
                 103              345.86                 700                1880                 130                   0                 346            1000.000                  20                 300                 250
                 104              345.86                 900                1590                 300                   0                 346               0.000                  50                 300                 250
                 105              345.86                 800                1600                   0                   0                 346            4000.000                 250                 300                 250
                 106              345.86                 800                1460                 150                   0                 346               0.000                 100                 300                 250
                 107              345.86                 800                1450                  20                   0                 346               0.000                 230                 300                 250
                 108              345.86                1100                1160                 300                   0                 346               0.000                 250                 300                 250
                 109              345.86                1200                 870                 300                   0                 346            2000.000                 350                 300                 250
                 110              345.86                1200                 580                 300                   0                 346               0.000                 350                 300                 250
                 111              365.86                1300                 290                 300                   0                 346            2000.000                 450                 300                 250
                 112              345.86                1300                   0                 300                   0                 346               0.000                 450                 300                 250
                 113              345.86                 900                   0                  10                   0                 346               0.000                 340                 300                 250
                 114              345.86                 600                   0                  10                   0                 346               0.000                  40                 300                 250
                 115               70.00                 400                  10                   0                   0                 346               0.000                   0                 150                 250
                 116               70.00                 400                  20                   0                   0                 346               0.000                   0                 150                 250
                 117               70.00                 300                 218                   0                 250                 346               0.000                   0                 300                 250
                 118               70.00                 300                 415                   0                 250                 346               0.000                   0                 300                 250
                 119               70.00                 300                 612                   0                 250                 346               0.000                   0                 300                 250
                 120               70.00                 250                 848                   0                 300                 346               0.000                   0                 300                 250
                 121               70.00                 250                1082                   0                 300                 335               0.000                   0                 300                 250
                 122               70.00                 250                1318                   0                 300                 335               0.000                   0                 300                 250
                 123               70.00                 250                1552                   0                 300                 335               0.000                   0                 300                 250
                 124               70.00                 250                1788                   0                 300                 335               0.000                   0                 300                 250
                 125               70.00                 250                1878                   0                 107                 335               0.000                   0                 107                 250
                 126               70.00                 400                2000                   0                 150                 335               0.000                   0                 300                 250
                 127              335.38                 700                1860                 150                   0                 335               0.000                   0                 300                 250
                 128              355.38                 900                1570                 300                   0                 335            1000.000                  50                 300                 250
                 129              335.38                 800                1330                 250                   0                 335               0.000                   0                 300                 250
                 130              251.54                 500                1378                   0                  50                 335               0.000                   0                 300                 250
                 131              251.54                 500                1425                   0                  50                 335               0.000                   0                 300                 250
                 132              251.54                 500                1472                   0                  50                 335               0.000                   0                 300                 250
                 133              335.38                 700                1450                  32                   0                 335            2350.000                 118                 300                 250
                 134              335.38                1100                1160                 300                   0                 335            4650.000                 250                 300                 250
                 135              335.38                1200                 870                 300                   0                 335               0.000                 350                 300                 250
                 136              335.38                1200                 580                 300                   0                 335               0.000                 350                 300                 250
                 137              355.38                1300                 290                 300                   0                 335            2000.000                 450                 300                 250
                 138              335.38                1300                   0                 300                   0                 335               0.000                 450                 300                 250
                 139               70.00                 400                 122                   0                 150                 335               0.000                   0                 300                 250
                 140               70.00                 400                 245                   0                 150                 335               0.000                   0                 300                 250
                 141               70.00                 300                 442                   0                 250                 335               0.000                   0                 300                 250
                 142               70.00                 300                 640                   0                 250                 335               0.000                   0                 300                 250
                 143               70.00                 300                 838                   0                 250                 335               0.000                   0                 300                 250
                 144               70.00                 250                1072                   0                 300                 335               0.000                   0                 300                 250
                 145               70.00                 250                1308                   0                 300                 338               0.000                   0                 300                 250
                 146               70.00                 250                1530                   0                 283                 338               0.000                   0                 283                 250
                 147               70.00                 250                1765                   0                 300                 338               0.000                   0                 300                 250
                 148               70.00                 250                2000                   0                 300                 338               0.000                   0                 300                 250
                 149              337.94                1100                1710                 300                   0                 338            5000.000                 250                 300                 250
                 150              337.94                1200                1520                 200                   0                 338            4000.000                 450                 300                 250
                 151              337.94                1200                1230                 300                   0                 338               0.000                 350                 300                 250
                 152              337.94                1300                 940                 300                   0                 338               0.000                 450                 300                 250
                 153              357.94                1300                 650                 300                   0                 338               0.000                 450                 300                 250
                 154              337.94                 600                 660                   0                   0                 338               0.000                  50                 300                 250
                 155              337.94                 700                 645                  25                   0                 338               0.000                 125                 300                 250
                 156              253.46                 500                 692                   0                  50                 338               0.000                   0                 300                 250
                 157              337.94                 700                 600                 102                   0                 338            2392.857                  48                 300                 250
                 158              337.94                 700                 580                  30                   0                 338               0.000                 120                 300                 250
                 159              337.94                 900                 290                 300                   0                 338             107.143                  50                 300                 250
                 160              357.94                1000                   0                 300                   0                 338             500.000                 150                 300                 250
                 161              337.94                 700                   0                  10                   0                 338               0.000                 140                 300                 250
                 162               70.00                 500                  10                   0                   0                 338               0.000                   0                 250                 250
                 163               70.00                 400                  20                   0                   0                 338               0.000                   0                 150                 250
                 164               70.00                 400                  30                   0                   0                 338               0.000                   0                 150                 250
                 165               70.00                 300                  60                   0                  27                 338               0.000                   0                  77                 250
                 166               70.00                 300                  70                   0                   0                 338               0.000                   0                  50                 250
                 167               70.00                 300                  80                   0                   0                 338               0.000                   0                  50                 250
                 168               70.00                 250                  90                   0                   0                 338               0.000                   0                   0                 250
                 169               70.00                 200                 325                   0                 300                 343               0.000                   0                 250                 250
                 170               70.00                 210                 365                   0                  40                 343               0.000                   0                   0                 250
                 171               70.00                 200                 412                   0                  50                 343               0.000                   0                   0                 250
                 172               70.00                 200                 460                   0                  50                 343               0.000                   0                   0                 250
                 173               70.00                 250                 470                   0                   0                 343               0.000                   0                   0                 250
                 174               70.00                 400                 480                   0                   0                 343               0.000                   0                 150                 250
                 175               93.33                 600                 440                  50                   0                 343               0.000                   0                 300                 250
                 176               93.33                 600                 400                  50                   0                 343               0.000                   0                 300                 250
                 177               93.33                 600                 360                  50                   0                 343               0.000                   0                 300                 250
                 178               93.33                 600                 320                  50                   0                 343               0.000                   0                 300                 250
                 179               93.33                 600                 280                  50                   0                 343               0.000                   0                 300                 250
                 180               93.33                 600                 240                  50                   0                 343               0.000                   0                 300                 250
                 181               93.33                 600                 200                  50                   0                 343               0.000                   0                 300                 250
                 182               93.33                 600                 160                  50                   0                 343               0.000                   0                 300                 250
                 183               93.33                 600                 120                  50                   0                 343               0.000                   0                 300                 250
                 184               93.33                 600                  80                  50                   0                 343               0.000                   0                 300                 250
                 185               93.33                 600                  40                  50                   0                 343               0.000                   0                 300                 250
                 186               93.33                 600                   0                  50                   0                 343               0.000                   0                 300                 250
                 187               70.00                 400                  10                   0                   0                 343               0.000                   0                 150                 250
                 188               70.00                 400                  20                   0                   0                 343               0.000                   0                 150                 250
                 189               70.00                 300                  30                   0                   0                 343               0.000                   0                  50                 250
                 190               70.00                 300                  40                   0                   0                 343               0.000                   0                  50                 250
                 191               70.00                 300                  50                   0                   0                 343               0.000                   0                  50                 250
                 192               70.00                 250                  60                   0                   0                 343               0.000                   0                   0                 250
                 193               70.00                 201                 295                   0                 300                 349               0.000                   0                 251                 250
                 194               70.00                 213                 333                   0                  37                 349               0.000                   0                   0                 250
                 195               70.00                 205                 376                   0                  45                 349               0.000                   0                   0                 250
                 196               70.00                 206                 420                   0                  44                 349               0.000                   0                   0                 250
                 197               70.00                 251                 430                   0                   0                 349               0.000                   0                   1                 250
                 198               70.00                 409                 440                   0                   0                 349               0.000                   0                 159                 250
