Co2Preis(t)	/			
1	*	24	=	78.11927423
25	*	48	=	79.18055948
49	*	72	=	76.02146136
73	*	96	=	80.05835275
97	*	120	=	79.54178272
121	*	144	=	78.39450547
145	*	168	=	77.59248596
169	*	192	=	79.51414658
193	*	216	=	79.80590537
217	*	240	=	77.04933398
241	*	264	=	80.98549321
265	*	288	=	80.45934663
289	*	312	=	81.27477168
313	*	336	=	77.56996495
337	*	360	=	78.43122123
361	*	384	=	77.67790546
385	*	408	=	80.01450101
409	*	432	=	82.4615064
433	*	456	=	81.02032575
457	*	480	=	78.26628806
481	*	504	=	82.69998515
505	*	528	=	80.57404118
529	*	552	=	82.11834515
553	*	576	=	80.57644798
577	*	600	=	80.34626796
601	*	624	=	79.01826985
625	*	648	=	82.70074203
649	*	672	=	79.72382178
673	*	696	=	83.00123053
697	*	720	=	82.55820504
721	*	744	=	84.24498302
745	*	768	=	84.19340222
/				
